NAME,population,median_household_income,poverty_universe,below_poverty,gini_index,tenure_universe,renter_occupied,median_gross_rent,median_age,race_universe,race_white,race_black,race_aian,race_asian,hispanic_universe,hispanic,commute_universe,commute_drove_alone,commute_carpool,commute_public_transit,commute_worked_from_home,labor_force,unemployed,households,households_no_vehicle,zip code tabulation area,poverty_rate,unemployment_rate,renter_share,no_vehicle_share,race_white_share,race_black_share,race_aian_share,race_asian_share,hispanic_share,drive_alone_share,public_transit_share,worked_from_home_share
ZCTA5 20001,44616,138059,42059,5685,0.4671,23868,15890,2499,32.6,44616,21230,13680,91,3516,44616,4888,31147,6048,1006,5093,5045,31120,758,23868,9894,20001,0.1351672650324544,0.0243573264781491,0.6657449304508128,0.41452991452991456,0.47583826429980275,0.3066164604626143,0.0020396270396270395,0.07880580957504034,0.10955710955710955,0.19417600410954505,0.16351494525957555,0.16197386586188076
ZCTA5 20002,72397,120337,71056,10122,0.4685,35515,21907,2212,33.4,72397,30522,28010,234,3162,72397,6497,44662,10566,1466,9504,3555,44791,2734,35515,12242,20002,0.14245102454402161,0.061039048023040346,0.6168379557933268,0.3446994227791074,0.4215920549194027,0.3868944845780902,0.003232178128927994,0.043675842921668026,0.08974128762241529,0.23657695580135238,0.21279835206663383,0.07959786843401549
ZCTA5 20003,37482,159846,35213,2392,0.4275,19858,12512,2698,34.7,37482,23680,8556,155,1770,37482,2636,24959,5408,526,5991,3161,24283,1160,19858,6292,20003,0.06792945787067277,0.047770044887369766,0.6300735220062443,0.31684963238996877,0.6317699162264554,0.22826956939330878,0.004135318286110666,0.047222666880102446,0.07032709033669494,0.21667534757001483,0.24003365519451902,0.12664770223165991
ZCTA5 20004,1831,184792,1831,50,0.3982,1274,731,2997,42.2,1831,1422,182,0,88,1831,149,1491,130,8,206,567,1497,38,1274,636,20004,0.027307482250136537,0.025384101536406144,0.5737833594976453,0.49921507064364207,0.7766247951938832,0.099399235390497,0.0,0.0480611687602403,0.08137629710540688,0.08718980549966465,0.1381623071763917,0.38028169014084506
ZCTA5 20005,13131,116724,13054,1182,0.4722,8667,5938,2298,34.9,13131,7914,1206,304,1163,13131,2447,9822,1418,54,1265,2633,10038,394,8667,5314,20005,0.09054695878657883,0.03925084678222754,0.6851274950963424,0.6131302642206069,0.6026959104409413,0.09184372858122002,0.02315132130073871,0.08856903510776026,0.18635290533851193,0.14436978212176746,0.1287925066177968,0.26807167582976993
ZCTA5 20006,1362,35011,922,483,0.6318,729,686,1951,24.5,1362,495,141,18,578,1362,141,519,17,11,38,352,557,70,729,671,20006,0.5238611713665944,0.12567324955116696,0.9410150891632373,0.9204389574759945,0.3634361233480176,0.10352422907488987,0.013215859030837005,0.4243759177679883,0.10352422907488987,0.03275529865125241,0.07321772639691715,0.6782273603082851
ZCTA5 20007,24602,140996,23254,1735,0.5189,12027,5263,2106,38.3,24602,17342,1787,27,1489,24602,2683,14155,4281,413,1485,1898,14329,370,12027,2847,20007,0.07461081964393222,0.025821760066996997,0.43759873617693523,0.23671738588176602,0.7049020404845134,0.07263637102674579,0.0010974717502642063,0.06052353467197789,0.10905617429477278,0.3024373013069587,0.10490992582126457,0.13408689509007418
ZCTA5 20008,29434,125212,29367,2347,0.5136,16818,10691,2206,39.2,29434,20221,2722,179,2336,29434,3363,18061,4127,556,4252,1021,18277,815,16818,5401,20008,0.07991963768856199,0.04459156316682169,0.6356879533832798,0.3211440123677013,0.686994632058164,0.09247808656655568,0.006081402459740436,0.07936400081538357,0.1142556227492016,0.22850340512706938,0.2354243951054759,0.05653064614362439
ZCTA5 20009,50150,146664,49921,4321,0.457,29210,18896,2341,34.4,50150,28507,7610,35,2800,50150,8898,37175,5330,1624,8319,5923,37334,1168,29210,14270,20009,0.08655675968029486,0.031285155622221034,0.646901745977405,0.48853132488873674,0.5684346959122633,0.15174476570289133,0.0006979062811565304,0.05583250249252243,0.17742771684945163,0.1433759246805649,0.2237794216543376,0.15932750504371218
ZCTA5 20010,31808,114126,31577,5460,0.4984,14376,8489,1793,33.2,31808,12992,6841,255,2106,31808,8905,19405,3830,389,4383,1356,19451,1327,14376,6045,20010,0.1729106628242075,0.06822271348516785,0.5904980523094046,0.42049248747913187,0.4084507042253521,0.21507168008048289,0.00801685110663984,0.06620975855130784,0.2799610160965795,0.19737181138881732,0.22586962123164134,0.06987889719144551
